72,3,3,5,"Top seller, fantastic quality!",2024-03-04 11:25:00
73,8,3,2,"Item damaged during transit.",2024-03-03 17:50:00
74,7,3,5,"Seller handled everything perfectly!",2024-03-02 10:35:00
75,12,5,5,"Five stars! Would buy again.",2024-03-01 13:40:00
76,6,5,4,"Very happy with this purchase.",2024-02-29 16:15:00
77,11,5,5,"Outstanding quality and service.",2024-02-28 18:55:00
78,8,5,3,"Acceptable product, slow shipping.",2024-02-27 10:05:00
79,7,5,4,"Everything went well, thanks!",2024-02-26 13:50:00
80,1,5,5,"Perfect transaction, would buy again.",2024-02-25 15:25:00
81,2,5,5,"Best seller experience so far!",2024-02-24 11:20:00
82,3,5,2,"Item was late and poorly packaged.",2024-02-23 12:10:00
83,8,5,4,"Solid experience, no issues.",2024-02-22 13:30:00
84,7,5,5,"Really fast shipping and excellent support.",2024-02-21 17:45:00
85,12,2,5,"Could not have asked for better.",2024-02-20 09:40:00
86,6,2,3,"Item was okay, nothing special.",2024-02-19 15:35:00
87,11,2,4,"Product was exactly what I needed.",2024-02-18 16:20:00
88,8,2,5,"Fantastic from start to finish!",2024-02-17 18:10:00
89,7,2,4,"Great communication, decent shipping.",2024-02-16 12:30:00
90,1,3,5,"Flawless service, very satisfied.",2024-02-15 10:50:00
91,2,3,4,"Good experience with minor shipping delay.",2024-02-14 13:20:00
92,3,3,5,"Really great seller!",2024-02-13 11:45:00
93,8,3,3,"Item slightly different than pictured.",2024-02-12 14:10:00
94,7,3,5,"Amazing seller, no complaints.",2024-02-11 09:00:00
95,12,5,5,"Delivered faster than promised!",2024-02-10 12:30:00
96,6,5,4,"Everything was smooth and easy.",2024-02-09 15:10:00
97,11,5,5,"Product was great quality!",2024-02-08 17:25:00
98,8,5,2,"Packaging was torn, product fine.",2024-02-07 10:40:00
99,7,5,4,"Seller handled minor issue very well.",2024-02-06 13:00:00
100,1,5,5,"Excellent transaction overall.",2024-02-05 16:15:00
101,2,5,3,"Item as described, but shipping took longer.",2024-02-04 11:55:00
102,3,5,5,"Highly recommend this seller!",2024-02-03 14:05:00
103,8,5,4,"Solid communication, decent packaging.",2024-02-02 16:35:00
104,7,5,5,"Perfect!",2024-02-01 10:25:00
105,12,2,5,"Couldn't be happier.",2024-01-31 13:15:00
106,6,2,2,"Product quality was disappointing.",2024-01-30 15:45:00
107,11,2,4,"Met expectations, good communication.",2024-01-29 17:20:00
108,8,2,5,"Very professional seller.",2024-01-28 11:35:00
109,7,2,4,"Good experience, decent shipping time.",2024-01-27 13:45:00
110,1,3,5,"Exceeded expectations!",2024-01-26 10:50:00
111,2,3,4,"Smooth transaction, would recommend.",2024-01-25 14:20:00
112,3,3,5,"Everything went perfectly!",2024-01-24 09:45:00
113,8,3,2,"Product damaged during shipping.",2024-01-23 12:30:00
114,7,3,5,"A+ service, great seller!",2024-01-22 11:15:00
115,12,5,5,"Fantastic customer service!",2024-01-21 13:10:00
116,6,5,4,"Good quality, fast shipping.",2024-01-20 15:35:00
117,11,5,5,"Great overall buying experience.",2024-01-19 17:25:00
118,8,5,3,"Shipping delay, but seller apologized.",2024-01-18 11:05:00
119,7,5,4,"Would definitely buy again.",2024-01-17 13:50:00
120,1,5,5,"Excellent!",2024-01-16 10:15:00
121,2,5,2,"Not impressed with packaging.",2024-01-15 14:45:00
122,3,5,5,"Amazing service!",2024-01-14 11:30:00
123,8,5,4,"Fast shipping, solid product.",2024-01-13 16:20:00
124,7,5,5,"Could not be better!",2024-01-12 09:30:00
125,12,2,4,"Pretty good, no major issues.",2024-01-11 13:10:00
126,6,2,5,"Highly recommend!",2024-01-10 15:40:00
127,11,2,3,"Decent purchase, shipping slow.",2024-01-09 17:10:00
128,8,2,4,"Everything arrived safely.",2024-01-08 10:50:00
129,7,2,5,"Excellent packaging and communication.",2024-01-07 13:45:00
130,1,3,5,"Seller was excellent.",2024-01-06 11:15:00
131,2,3,4,"Met my expectations!",2024-01-05 14:30:00
132,3,3,2,"Item was missing a part.",2024-01-04 16:00:00
133,8,3,5,"Incredible experience!",2024-01-03 10:20:00
134,7,3,4,"Good experience!",2024-01-02 11:45:00
135,12,5,5,"Couldn't ask for better.",2024-01-01 09:55:00
136,6,5,4,"Everything smooth.",2023-12-31 13:00:00
137,11,5,5,"Super fast and reliable.",2023-12-30 15:25:00
138,8,5,3,"Minor damage to box, item fine.",2023-12-29 16:10:00
139,7,5,5,"Thank you, awesome seller!",2023-12-28 10:00:00
140,1,5,5,"Best seller ever!",2023-12-27 12:35:00
141,2,5,4,"Good product, minor shipping delay.",2023-12-26 14:50:00
