55,6,4,"Perfect mat for camping trips.",5,2024-04-01 13:40:33
56,9,4,"Good insulation from cold ground.",4,2024-03-28 12:05:27
57,1,5,"Insulated mug keeps drinks hot for hours!",5,2024-03-27 09:40:22
58,2,5,"Perfect size for travel.",4,2024-03-29 13:15:30
569,3,6,"Multi-tool is super handy.",5,2024-03-25 14:22:50
60,10,6,"Used it on a camping trip and loved it.",5,2024-03-26 12:10:11
61,4,7,"Best hiking poles I've tried!",5,2024-03-24 16:30:22
62,7,7,"Strong and lightweight poles.",4,2024-03-25 13:20:19
63,6,11,"Hydration pack works perfectly!",5,2024-03-28 15:55:14
64,9,10,"Great for running and biking.",4,2024-03-30 09:12:10
65,1,9,"Sunscreen kept me from burning!",5,2024-03-27 11:45:22
66,2,9,"A bit greasy but very effective.",4,2024-03-29 16:05:27
67,3,10,"Portable stove works like a charm.",5,2024-03-25 09:50:18
68,4,11,"Pan heats evenly, no sticking.",4,2024-03-24 10:30:00
69,7,11,"Perfect for camping breakfasts!",5,2024-03-25 12:20:45
70,6,12,"Best camping lantern!",5,2024-03-28 14:05:33
71,9,12,"Light lasts a very long time.",4,2024-03-29 10:45:50
72,1,13,"Portable grill cooked burgers perfectly.",5,2024-03-30 13:55:22
73,2,13,"Could use a bigger grilling surface.",4,2024-03-31 09:15:11
74,3,14,"Comfy camping chair!",5,2024-03-26 11:30:20
75,10,14,"Folds up easily and lightweight.",4,2024-03-28 15:50:55
76,4,15,"Great for hiking and day trips.",5,2024-03-29 11:12:00
77,7,15,"Very durable material.",5,2024-03-30 12:50:30
78,6,16,"Kept my food fresh all day.",4,2024-03-27 09:20:05
79,9,16,"Perfect cooler for road trips.",5,2024-03-28 10:15:45
80,1,17,"Campfire tool set is very sturdy.",5,2024-03-29 15:05:20
81,2,17,"Tongs and poker worked well.",4,2024-03-31 14:10:55
82,3,18,"Easy to light fire starter!",5,2024-03-26 13:05:45
83,10,18,"Works even when wet.",5,2024-03-27 15:20:33
84,20,19,"My kids loved it.",5,2024-03-28 14:45:10
85,19,19,"Pretty good value.",4,2024-03-30 10:30:27
86,6,20,"Dry bags kept everything safe and dry.",5,2024-03-29 12:20:55
87,9,20,"Good value for the set.",4,2024-03-31 16:00:33
88,1,1,"Best outdoor water filter!",5,2024-03-26 11:50:22
89,2,1,"Clean water instantly.",5,2024-03-27 14:12:05
90,3,2,"Portable solar panel is amazing!",5,2024-03-28 10:00:45
91,10,2,"Charges devices fast.",4,2024-03-29 13:25:00
92,4,3,"Awesome camping cookware set.",5,2024-03-30 12:00:30
93,7,3,"Compact and lightweight cookware.",4,2024-03-31 14:30:15
94,6,4,"Flashlight super bright!",5,2024-03-28 09:10:22
95,9,4,"Good battery life too.",4,2024-03-30 10:25:11
96,1,5,"All-in-one first aid kit, love it.",5,2024-03-27 13:45:45
97,2,5,"Must-have for any trip!",5,2024-03-29 15:05:20
98,3,6,"Top-quality camping stove!",5,2024-03-30 11:20:33
99,7,12,"Really useful and lightweight, perfect for travel.",5,2024-04-07 10:12:45
100,14,9,"Good material but sizing runs small.",4,2024-04-08 15:25:18
101,6,13,"Comfortable and breathable fabric.",5,2024-04-11 13:20:10
102,18,2,"Packaging could be improved but item is good.",4,2024-04-12 16:50:05
103,9,10,"Works fine, but battery life is short.",3,2024-04-16 10:10:22
104,3,7,"Beautiful product, just as pictured.",5,2024-04-17 11:30:12
105,11,4,"Stylish and functional.",5,2024-04-19 15:05:18
106,15,16,"Colors faded after a few washes.",2,2024-04-20 13:40:50
107,5,3,"Absolutely love it!",5,2024-04-23 14:25:09
108,9,20,"Disappointed with the build quality.",2,2024-04-24 09:40:33
109,8,12,"Great for the price!",4,2024-04-26 11:15:22
110,8,11,"Not very durable, broke after a week.",2,2024-04-28 10:50:11
111,8,14,"Great!",5,2024-05-02 14:30:22
